生产ID,西医病名,西医病名key,中医二级病名/症状锚点,阶段/状态轴,证型,证型证素,症状/入选条件,排除条件,方剂,方剂组成,加减,病理/证机概要,现代病理提示,trace_id,review_status
PROD_000001,ALS,als,痿证,acute_phase;subacute_phase,湿热浸淫,湿热蕴结,肢体困重痿软；足胫热气上腾；身热；胸脘痞闷；小便赤涩；苔黄腻,阳虚寒湿,二妙散,黄柏（15g）；苍术（15g）,,湿热蕴结,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_weizheng_als_damp_heat_limb,需人工审核
PROD_000002,ALS,als,痿证,chronic_phase,肝肾亏损,肝肾亏虚,起病缓慢；下肢痿软；腰膝酸软；眩晕耳鸣；遗精早泄或月经不调,湿热实证,虎潜丸,[待补充],,肝肾不足，精血亏虚，筋脉失养,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_weizheng_als_liver_kidney_deficiency_weizheng,需人工审核
PROD_000003,ALS,als,痿证,acute_phase;recovery_phase,肺热津伤,肺热壅盛,发热病后肢体痿软；皮肤干燥；心烦口渴；呛咳少痰；舌红,急性进行性无力未排GBS,清燥救肺汤,桑叶（9g）；石膏（7.5g）；甘草（3g）；人参（2g）；胡麻仁（3g）；阿胶（2.5g）；麦门冬（3.5g）；杏仁（2g）；批把叶刷（3g）,,肺热壅盛,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_weizheng_als_lung_heat_fluid_damage,需人工审核
PROD_000004,ALS,als,痿证,chronic_phase;recovery_phase,脉络瘀阻,瘀血阻滞,肢体痿软；肌肉瘦削；麻木不仁；舌暗瘀斑；病程日久或外伤后,急性神经红旗,补阳还五汤,黄苠生（120g）；归尾（6g）；赤芍（4.5g）；地龙（3g）；川笃（3g）；红花（3g）；桃仁（3g）,,瘀血阻滞,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_weizheng_als_stasis_obstructing_channels,需人工审核
PROD_000005,ALS,als,痿证,chronic_phase;recovery_phase,脾胃虚弱,脾气亏虚/运化失司,肢体痿软无力逐渐加重；食少便溏；神疲乏力；面色少华,急性卒中/脊髓压迫,补中益气汤,黄苠（18g）；甘草（9g）；人参（6g）；当归（3g）；橘皮不（6g）；升麻（6g）；柴胡（6g）,,脾气不足，运化失健，气血生化乏源,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_weizheng_als_spleen_stomach_weak_weizheng,需人工审核
PROD_000006,BPPV,bppv,眩晕,chronic_phase;recovery_phase,气血亏虚,气血两虚,眩晕动则加剧；劳累即发；面色少华；神疲乏力；心悸少寐,痰热/肝阳实证,归脾汤,白术（18g）；人参（9g）；甘草（6g）；当归（3g）；远志（3g）；龙眼肉（18g）；酸枣仁（18g）；木香（9g）,,气血亏虚，清窍肌肉失养,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_bppv_qi_blood_deficiency,需人工审核
PROD_000007,BPPV,bppv,眩晕,active_phase;chronic_phase,痰湿中阻,痰湿阻滞,眩晕头重如蒙；胸闷恶心；呕吐痰涎；食少多寐；苔白腻,阴虚火旺,半夏白术天麻汤,半夏（9g）；天麻（6g）；白术（18g）；甘草（3g）,,痰湿阻滞,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_bppv_phlegm_damp_middle,需人工审核
PROD_000008,BPPV,bppv,眩晕,chronic_phase;recovery_phase,瘀血阻窍,瘀血阻滞,眩晕头痛；痛有定处；舌暗瘀斑；或有外伤/久病,急性卒中红旗,通窍活血汤,[待补充],,瘀血阻滞,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_bppv_blood_stasis_orifice,需人工审核
PROD_000009,BPPV,bppv,眩晕,active_phase;chronic_phase,肝阳上亢,肝阳上亢/风阳上扰,眩晕耳鸣；头痛胀；急躁易怒；失眠多梦；口苦；舌红,中枢红旗未排,天麻钩藤饮,天庥（9g）；钩藤（12g）；生决明先煎（18g）；山枙（9g）；牛膝（12g）；杜仲（9g）；桑寄生（9g）；益母草（9g）；黄芩（9g）,,肝肾阴亏，肝阳偏亢，上扰清窍,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_bppv_liver_yang_hyperactivity,需人工审核
PROD_000010,BPPV,bppv,眩晕,chronic_phase,肾精不足,肾精亏虚,眩晕久发；精神萎靡；腰膝酸软；耳鸣；健忘,急性感染/中枢红旗,左归丸；右归丸,大怀熟地（24g）；山药（12g）；袧杞（12g）；山莱萸肉（12g）；川牛（9g）；滑精者不用（12g）；鹿胶敲（12g）；龟胶（12g）；右归丸:熟地黄（24g）；山茉萸微（9g）；袧杞子微（12g）；兔丝子（12g）；鹿角胶（12g）；杜仲（12g）；肉桂（6g）；当归（9g）；附子（6g）,,肾精不足，髓海失充，清窍失养,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_bppv_kidney_essence_deficiency,需人工审核
PROD_000011,C. difficile腹泻,c_difficile_colitis,泄泻,acute_phase,寒湿内盛,寒湿阻滞,泄泻清稀；腹痛肠鸣；恶寒发热；苔白腻,热泻臭秽,藿香正气散,[待补充],,寒湿阻滞,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_c_difficile_colitis_cold_damp,需人工审核
PROD_000012,C. difficile腹泻,c_difficile_colitis,泄泻,acute_phase,湿热伤中,湿热蕴结,泄泻腹痛；泻下急迫或不爽；粪色黄褐臭秽；肛门灼热；苔黄腻,清稀不臭畏寒,葛根芩连汤,[待补充],,湿热蕴结,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_c_difficile_colitis_damp_heat,需人工审核
PROD_000013,C. difficile腹泻,c_difficile_colitis,泄泻,chronic_phase;active_phase,肝气乘脾,肝郁乘脾/脾失健运,腹痛即泻；泻后痛减；情绪诱发；胸胁胀闷,高热血便,痛泻要方,[待补充],,肝气郁滞，横逆犯脾，运化失司,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_c_difficile_colitis_liver_qi_spleen,需人工审核
PROD_000014,C. difficile腹泻,c_difficile_colitis,泄泻,chronic_phase,肾阳虚衰,阳气不足/温煦失司,黎明泄泻；腹痛即泻；泻后则安；腰膝酸冷；形寒肢冷,湿热臭秽,四神丸,肉豆范（6g）；补骨脂（12g）；五味子（6g）；吴莱萸浸（3g）,,阳气不足/温煦失司,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_c_difficile_colitis_kidney_yang_deficiency,需人工审核
PROD_000015,C. difficile腹泻,c_difficile_colitis,泄泻,chronic_phase;recovery_phase,脾胃虚弱,脾气亏虚/运化失司,大便时溏时泻；迁延反复；食少纳呆；神疲乏力,湿热急泻,参苓白术散,[待补充],,脾气不足，运化失健，气血生化乏源,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_c_difficile_colitis_spleen_stomach_weak,需人工审核
